galaxy,n_points,distance_mpc,low_point_fit,log10_M200,log10_rs,M200,rs,chi2_red,success,status,nfev,hit_lower_mass,hit_upper_mass,hit_lower_rs,hit_upper_rs
UGC01281,25,5.27,False,12.129995468330158,1.9999999999999911,1348948806837.1262,99.99999999999795,1.1058840194958175,True,2,10,False,False,False,True
UGC02259,8,10.5,False,10.746958840618012,0.5897195216015229,55841726936.055534,3.887939708820114,0.49414034290382536,True,2,9,False,False,False,False
UGC02455,8,6.92,False,9.000000000617533,1.999999999815711,1000000001.4219216,99.99999995756588,31.917065259842946,True,1,7,True,False,False,True
UGC02487,17,69.1,False,12.475133406430112,1.0998850825358186,2986299808591.499,12.58592335084849,4.394700529758328,True,2,9,False,False,False,False
UGC02885,19,80.6,False,12.57682242159134,1.63710492049415,3774178372190.3584,43.36156222241227,2.5992315444362704,True,2,12,False,False,False,False
UGC02916,43,65.4,False,12.61938064689622,1.999999999995492,4162753042426.688,99.99999999896201,35.14292923403904,True,2,9,False,False,False,True
UGC02953,115,16.5,False,12.222045905811518,1.1794724216779378,1667423453292.422,15.117236996911515,4.496065576119169,True,2,8,False,False,False,False
UGC03205,48,50.0,False,11.820353684430867,0.9906091626569888,661231728307.3403,9.786089033925885,3.99141411725494,True,2,9,False,False,False,False
UGC03546,30,28.7,False,12.048032926428059,1.4331492631866507,1116947926985.5388,27.111232609610905,3.0745611075075874,True,2,8,False,False,False,False
UGC03580,47,20.7,False,12.295093336724086,1.9999999999999998,1972846686380.7,99.99999999999994,28.510407752007485,True,4,9,False,False,False,True
UGC04278,25,9.51,False,12.42049690591467,1.9999999999999998,2633279183088.276,99.99999999999994,1.4622486746389227,True,2,11,False,False,False,True
UGC04305,22,3.45,False,9.000000000000002,0.41970252499131433,1000000000.000004,2.6284669764157975,2.0366305000293474,True,2,15,True,False,False,False
UGC04325,8,9.6,False,10.845707020796373,0.621282979079349,70098224955.85635,4.181027066981079,2.868046345488297,True,2,9,False,False,False,False
UGC04483,8,3.34,False,10.223271902393327,0.9321178934809845,16721371756.25329,8.552988606074601,0.39971866201977496,True,2,12,False,False,False,False
UGC04499,9,12.5,False,11.044760097771139,1.1646949154823503,110856228150.802,14.611503804522945,1.0445922938192382,True,2,8,False,False,False,False
UGC05005,11,53.7,False,11.961485874637566,1.9999999999999998,915136494120.962,99.99999999999994,0.21830922975714728,True,2,12,False,False,False,True
UGC05253,73,22.9,False,12.240311284460914,1.449433067273783,1739046859561.5295,28.14706183978122,5.2072730675203855,True,2,9,False,False,False,False
UGC05716,12,21.3,False,10.807891529518054,0.9328994406189696,64252721806.07213,8.568394240625057,0.3680749210566047,True,2,8,False,False,False,False
UGC05721,23,6.18,False,10.565278776287817,0.39980711250366663,36751813694.05651,2.5107710502981555,0.9636923098682659,True,2,10,False,False,False,False
UGC05750,11,58.7,False,11.623919212958869,1.8229876632197894,420648372501.12134,66.52542583974163,1.004928690458281,True,2,15,False,False,False,False
UGC05764,10,7.47,False,10.316378699469134,0.5320964034817643,20719472739.507053,3.4048376095186166,2.986812579331418,True,2,11,False,False,False,False
UGC05829,11,8.64,False,12.029248757846114,1.9999999999999998,1069667394409.7577,99.99999999999994,0.0860692630086275,True,1,14,False,False,False,True
UGC05918,8,7.66,False,10.355257617148023,0.8613691853816844,22659880600.510178,7.267234685666692,0.1464207139191722,True,2,11,False,False,False,False
UGC05986,15,8.63,False,11.842669088814787,1.3488601809810377,696095920897.468,22.32853250740612,5.81062180859566,True,2,9,False,False,False,False
UGC06399,9,18.0,False,11.620489852356894,1.419435536226552,417339846867.0946,26.26851585217568,0.6579931415183127,True,2,10,False,False,False,False
UGC06446,17,12.0,False,10.794653088861821,0.7338220055153633,62323679976.669556,5.417787982355053,0.21468786825802455,True,2,8,False,False,False,False
UGC06614,13,88.7,False,12.481963530685752,1.9999999999999998,3033636427824.706,99.99999999999994,1.3291215856407268,True,2,8,False,False,False,True
UGC06667,9,18.0,False,11.504895948993102,1.302355491765381,319812879005.9823,20.061134597282482,1.3067435378789527,True,2,9,False,False,False,False
UGC06786,45,29.3,False,12.106807676612123,1.189916475149362,1278814867134.9758,15.485187743783198,0.89808568103464,True,3,8,False,False,False,False
UGC06787,71,21.3,False,12.385395477841612,1.4393286100730034,2428820824538.478,27.499741413254586,12.371723236038592,True,2,9,False,False,False,False
UGC06818,8,18.0,False,12.083283548500882,1.9999999999999998,1211388784553.4365,99.99999999999994,3.8023413577449277,True,4,10,False,False,False,True
