model,target,MAE,RMSE,R2
LinearRegression,log10_M200,0.41090000277431776,0.5492699827739432,0.44606889331659494
LinearRegression,log10_rs,0.2895897472332211,0.38562627577528313,0.39259161843494295
GaussianProcess,log10_M200,0.38916816215654676,0.5287523670540597,0.48667942533479003
GaussianProcess,log10_rs,0.2817325657583804,0.3517224953649778,0.49470170194742213
NeuralNetwork,log10_M200,1.0659567669610368,1.6580804361180397,-4.047719492897577
NeuralNetwork,log10_rs,0.27907270779335375,0.3647871818777018,0.4564660413619722
